epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6706,1.87019,3.7326,1.56825,0.00683,1,0.31762,0.18418,1.19742,3.14281,1.08694,0.000466612,0.000466612,0.000466612
2,35.5948,1.30243,2.08972,1.10435,0.38149,0.30917,0.47956,0.31533,1.12775,2.22375,0.99894,0.000938278,0.000938278,0.000938278
3,49.6144,1.17441,1.83244,1.05006,0.3732,0.81657,0.533,0.34399,1.2617,1.60357,1.03251,0.00140523,0.00140523,0.00140523
4,63.3567,1.16653,1.67833,1.05968,0.41869,0.8223,0.6075,0.41161,1.08646,1.35611,1.02441,0.00140778,0.00140778,0.00140778
5,76.9727,1.14397,1.55579,1.06087,0.56065,0.78086,0.65232,0.45187,1.07747,1.2735,1.05219,0.00140071,0.00140071,0.00140071
6,90.6418,1.12264,1.47217,1.04124,0.5203,0.78487,0.67506,0.46111,1.0908,1.17439,1.05361,0.00139363,0.00139363,0.00139363
7,104.304,1.12637,1.43338,1.04944,0.5289,0.79235,0.67895,0.46324,1.06538,1.08563,1.03478,0.00138656,0.00138656,0.00138656
8,117.939,1.07968,1.34437,1.028,0.59487,0.76716,0.68738,0.47773,1.05147,1.13924,1.05815,0.00137949,0.00137949,0.00137949
9,131.584,1.06663,1.30857,1.01847,0.52965,0.86603,0.68771,0.47553,1.10826,1.14073,1.07818,0.00137241,0.00137241,0.00137241
10,145.16,1.05229,1.23896,1.01472,0.58698,0.81028,0.7091,0.49874,1.05945,1.02323,1.03657,0.00136534,0.00136534,0.00136534
11,158.795,1.07138,1.18369,1.02306,0.49677,0.80263,0.71281,0.49428,1.05912,1.06254,1.05027,0.00135826,0.00135826,0.00135826
12,172.409,1.06184,1.16546,1.00944,0.51723,0.83053,0.67334,0.46392,1.08998,1.09795,1.04503,0.00135119,0.00135119,0.00135119
13,186.066,1.03984,1.12465,1.00182,0.54463,0.82932,0.71838,0.50053,1.05033,0.97451,1.02188,0.00134412,0.00134412,0.00134412
14,199.697,1.06202,1.15536,1.02354,0.55646,0.81596,0.72725,0.51581,1.06093,1.0583,1.06273,0.00133704,0.00133704,0.00133704
15,213.396,1.03293,1.10452,1.01979,0.53769,0.75764,0.70707,0.48592,1.07187,1.02636,1.04044,0.00132997,0.00132997,0.00132997
16,226.956,1.02393,1.06785,1.00634,0.57927,0.85353,0.71137,0.49818,1.06069,0.98448,1.05126,0.0013229,0.0013229,0.0013229
17,240.551,1.00566,1.06321,0.99382,0.58483,0.83797,0.71465,0.50056,1.07219,0.98594,1.10698,0.00131582,0.00131582,0.00131582
18,254.173,1.04191,1.05714,1.00686,0.59598,0.81127,0.69438,0.47482,1.11157,1.02177,1.04746,0.00130875,0.00130875,0.00130875
19,267.744,1.02053,1.04686,1.00665,0.63561,0.69596,0.73624,0.52081,1.06784,1.06408,1.06044,0.00130168,0.00130168,0.00130168
20,281.343,1.02276,1.04106,1.01335,0.62309,0.75305,0.74413,0.51711,1.07442,1.03746,1.08965,0.0012946,0.0012946,0.0012946
21,294.912,1.00743,0.98519,1.00096,0.51472,0.84061,0.71862,0.4953,1.12817,0.98449,1.07354,0.00128753,0.00128753,0.00128753
22,308.457,1.00075,0.99318,1.00191,0.5765,0.82616,0.71889,0.49881,1.10406,0.96431,1.06452,0.00128046,0.00128046,0.00128046
23,322.012,0.97902,0.97312,0.98686,0.65982,0.74461,0.73427,0.51625,1.07152,0.93548,1.04835,0.00127338,0.00127338,0.00127338
24,335.603,0.99023,0.97961,1.00521,0.62753,0.71603,0.73712,0.51645,1.07342,0.96934,1.05468,0.00126631,0.00126631,0.00126631
25,349.274,0.9787,0.94711,0.99106,0.55597,0.77297,0.71773,0.50424,1.06456,0.97651,1.04756,0.00125923,0.00125923,0.00125923
26,362.818,0.95437,0.93534,0.98698,0.59956,0.77175,0.71138,0.48002,1.12696,0.94106,1.07055,0.00125216,0.00125216,0.00125216
27,376.425,0.97946,0.9281,1.00046,0.62609,0.84404,0.7492,0.51889,1.06857,0.9347,1.06977,0.00124509,0.00124509,0.00124509
28,390.033,0.98591,0.90297,0.98997,0.56274,0.86521,0.6878,0.46999,1.08926,0.98444,1.08414,0.00123801,0.00123801,0.00123801
29,403.635,0.95464,0.91924,0.98848,0.57095,0.83203,0.69433,0.49011,1.09232,0.97059,1.07335,0.00123094,0.00123094,0.00123094
30,417.25,0.93333,0.88027,0.98433,0.60462,0.84698,0.71995,0.51393,1.07982,0.92642,1.04729,0.00122387,0.00122387,0.00122387
31,430.8,0.96711,0.88654,0.98621,0.64238,0.83267,0.73716,0.51604,1.1109,0.95078,1.07616,0.00121679,0.00121679,0.00121679
32,444.421,0.96953,0.87794,0.99027,0.63993,0.76451,0.74298,0.51814,1.09537,0.9419,1.09438,0.00120972,0.00120972,0.00120972
