epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,778.52,1.70707,3.12591,1.57938,0.48996,0.29915,0.22292,0.14646,1.25913,131.037,1.45478,0.000466612,0.000466612,0.000466612
2,1451.82,1.22294,1.56053,1.25006,0.28907,0.74046,0.46624,0.29657,1.23888,1.73486,1.43578,0.000938278,0.000938278,0.000938278
3,2144.23,1.23184,1.35036,1.21774,0.81363,0.55268,0.64036,0.4114,1.22568,1.68557,1.40258,0.00140523,0.00140523,0.00140523
4,2857.42,1.21704,1.36235,1.22962,0.39017,0.84202,0.59863,0.40462,1.13188,1.36216,1.29772,0.00140778,0.00140778,0.00140778
5,3446.25,1.11184,1.17434,1.16661,0.56069,0.74507,0.66382,0.43568,1.25441,1.25031,1.38196,0.00140071,0.00140071,0.00140071
6,4006.06,1.1474,1.12711,1.17563,0.43624,0.7862,0.6172,0.41195,1.16997,1.20271,1.34976,0.00139363,0.00139363,0.00139363
7,4588.79,1.105,1.10047,1.15907,0.52956,0.75941,0.66669,0.46198,1.13409,0.98927,1.27652,0.00138656,0.00138656,0.00138656
8,5153.99,1.05574,1.04602,1.12908,0.57061,0.73348,0.69184,0.48713,1.11623,1.06189,1.27282,0.00137949,0.00137949,0.00137949
9,5783.13,1.06364,1.06373,1.14018,0.47535,0.84619,0.7175,0.47546,1.15288,1.09558,1.3075,0.00137241,0.00137241,0.00137241
10,6467.6,1.05774,1.01442,1.12835,0.61679,0.74823,0.7226,0.5095,1.08367,0.96225,1.23519,0.00136534,0.00136534,0.00136534
11,6956.57,1.10703,0.99701,1.13807,0.56269,0.74054,0.70079,0.45641,1.18786,0.96346,1.31676,0.00135826,0.00135826,0.00135826
12,7581.42,1.09714,0.99842,1.14764,0.53915,0.84957,0.71518,0.49717,1.11529,0.93775,1.24296,0.00135119,0.00135119,0.00135119
13,8136.46,1.07345,0.96219,1.12072,0.56487,0.79971,0.72131,0.50911,1.06777,0.89393,1.21989,0.00134412,0.00134412,0.00134412
14,8731.95,1.04745,0.96835,1.12235,0.53492,0.78553,0.67778,0.46315,1.12604,0.9412,1.24601,0.00133704,0.00133704,0.00133704
15,9369.29,1.04516,0.93102,1.13687,0.59113,0.71765,0.71124,0.49566,1.11985,0.92524,1.25467,0.00132997,0.00132997,0.00132997
16,9970.73,1.03847,0.94218,1.09962,0.55529,0.78934,0.69992,0.48092,1.12868,0.93343,1.27677,0.0013229,0.0013229,0.0013229
17,10561.9,1.00282,0.91309,1.07878,0.62527,0.65307,0.6886,0.46543,1.19269,1.09477,1.31811,0.00131582,0.00131582,0.00131582
18,11202,1.04789,0.92424,1.11235,0.59275,0.85204,0.73118,0.50634,1.1136,0.86839,1.25447,0.00130875,0.00130875,0.00130875
19,11746.2,1.03882,0.89662,1.11712,0.49473,0.74852,0.68649,0.4716,1.11124,1.01894,1.25049,0.00130168,0.00130168,0.00130168
20,12368,1.03138,0.93757,1.10949,0.62344,0.72505,0.73247,0.51059,1.06469,0.89793,1.22489,0.0012946,0.0012946,0.0012946
21,12923.9,0.99427,0.88339,1.08871,0.52334,0.80718,0.71326,0.48924,1.1218,0.95804,1.28357,0.00128753,0.00128753,0.00128753
22,13528.8,0.99625,0.90349,1.08941,0.62934,0.73314,0.73597,0.50007,1.12086,0.88364,1.27704,0.00128046,0.00128046,0.00128046
23,14073.5,0.98014,0.83338,1.07218,0.59063,0.79089,0.72604,0.5077,1.1016,0.86473,1.25135,0.00127338,0.00127338,0.00127338
24,14634.5,0.989,0.90939,1.0918,0.57633,0.74725,0.7216,0.50382,1.07951,0.88818,1.24853,0.00126631,0.00126631,0.00126631
25,15276.9,0.95823,0.88681,1.07253,0.57847,0.67802,0.69157,0.45724,1.15912,1.04001,1.29013,0.00125923,0.00125923,0.00125923
26,15896.2,0.97053,0.83234,1.08421,0.54323,0.76406,0.65381,0.44291,1.1844,0.99952,1.27621,0.00125216,0.00125216,0.00125216
27,16492.8,0.98999,0.87285,1.09286,0.57436,0.81588,0.68843,0.45608,1.1112,0.92097,1.25571,0.00124509,0.00124509,0.00124509
28,17083.9,0.97692,0.85211,1.07187,0.5546,0.78318,0.7004,0.44913,1.15725,0.91841,1.29238,0.00123801,0.00123801,0.00123801
29,17689.1,0.94174,0.84555,1.06553,0.60495,0.8174,0.73016,0.5028,1.05245,0.86961,1.21594,0.00123094,0.00123094,0.00123094
30,18241.2,0.93264,0.80985,1.06722,0.53273,0.85218,0.69001,0.46446,1.11969,0.98333,1.27006,0.00122387,0.00122387,0.00122387
31,18772.6,0.94695,0.80321,1.05988,0.56263,0.81513,0.69694,0.47519,1.11465,0.94948,1.24449,0.00121679,0.00121679,0.00121679
32,19329.2,0.93955,0.79842,1.0533,0.58312,0.74427,0.73003,0.51503,1.0925,0.92137,1.24495,0.00120972,0.00120972,0.00120972
33,19942.8,0.95292,0.79797,1.08405,0.53749,0.84404,0.69249,0.48031,1.07974,0.96521,1.23192,0.00120265,0.00120265,0.00120265
34,20593.3,0.95636,0.8157,1.08328,0.5402,0.77059,0.666,0.46082,1.10744,0.99347,1.24563,0.00119557,0.00119557,0.00119557
