epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.303,2.48153,7.65354,2.17298,0.13645,0.18981,0.15773,0.08287,1.27977,2.7444,1.37402,0.00015,0.00015,0.00015
2,387.324,1.11412,2.27751,1.15792,0.51691,0.55153,0.56587,0.40544,0.898,7.78839,1.08649,0.000311881,0.000311881,0.000311881
3,575.697,1.02791,1.56764,1.11118,0.19338,0.27932,0.16776,0.11911,1.5975,102.13,1.53724,0.000473119,0.000473119,0.000473119
4,748.858,0.95538,1.34429,1.05828,0.42525,0.51309,0.42171,0.29234,1.03551,2.41337,1.19902,0.000633713,0.000633713,0.000633713
5,937.595,1.05134,1.12937,1.09732,0.49196,0.54147,0.52165,0.36516,0.9627,1.27286,1.1448,0.000793664,0.000793664,0.000793664
6,1126.25,0.97175,1.09058,1.09123,0.72375,0.44599,0.40384,0.31388,0.85436,1.99528,1.09995,0.000952971,0.000952971,0.000952971
7,1315.19,0.95131,1.23289,1.08419,0.86121,0.46379,0.55914,0.42146,0.91445,1.37706,1.13542,0.00111163,0.00111163,0.00111163
8,1503.47,0.89339,0.93185,1.01656,0.66401,0.43322,0.31606,0.2312,0.95019,2.03335,1.14925,0.00123268,0.00123268,0.00123268
9,1687.72,0.96755,1.17122,1.06065,0.79352,0.53122,0.43958,0.33246,0.87766,1.81129,1.11165,0.0012302,0.0012302,0.0012302
10,1863.63,0.9076,1.01444,1.04924,0.819,0.51698,0.46746,0.35552,0.86884,2.9073,1.08303,0.00122773,0.00122773,0.00122773
11,2039.17,0.92659,1.00293,1.03004,0.85642,0.42009,0.48778,0.34631,0.97829,2.17528,1.14507,0.00122525,0.00122525,0.00122525
12,2204.79,0.88616,0.86376,1.02088,0.86136,0.46759,0.55844,0.41684,0.87549,0.86627,1.07689,0.00122277,0.00122277,0.00122277
13,2376.16,0.85388,0.86274,1.01058,0.85211,0.54315,0.63283,0.46667,0.91838,0.78466,1.12224,0.0012203,0.0012203,0.0012203
14,2571.5,0.85215,0.89557,1.00931,0.78619,0.55054,0.59842,0.44741,0.96497,1.0725,1.1434,0.00121783,0.00121783,0.00121783
15,2746.32,0.83323,0.83881,1.02056,0.59647,0.52976,0.59383,0.46734,0.81417,0.774,1.02699,0.00121535,0.00121535,0.00121535
16,2923.83,0.83794,0.78473,1.0187,0.80591,0.48148,0.49444,0.37091,0.94666,1.03815,1.13333,0.00121287,0.00121287,0.00121287
17,3107.83,0.83364,0.81962,0.99941,0.90162,0.53549,0.60446,0.47502,0.80181,0.62976,1.02874,0.0012104,0.0012104,0.0012104
18,3277.85,0.81136,0.73538,0.99764,0.54671,0.54167,0.58623,0.45174,0.84008,0.69908,1.03734,0.00120793,0.00120793,0.00120793
19,3470.78,0.82309,0.77367,0.98507,0.95078,0.54167,0.59373,0.43925,0.88777,0.70618,1.08969,0.00120545,0.00120545,0.00120545
20,3650.64,0.82981,0.78932,0.99645,0.89854,0.60648,0.63831,0.50433,0.7777,0.63108,1.02099,0.00120298,0.00120298,0.00120298
21,3847.98,0.82072,0.77165,0.98001,0.97518,0.53358,0.61615,0.48638,0.78533,0.68669,1.02224,0.0012005,0.0012005,0.0012005
22,4038.75,0.82362,0.71265,0.9931,0.94113,0.53808,0.61366,0.44269,0.84826,0.60587,1.07986,0.00119802,0.00119802,0.00119802
23,4219.25,0.8195,0.74451,1.00056,0.54234,0.78384,0.61035,0.44838,0.90941,0.75082,1.08781,0.00119555,0.00119555,0.00119555
24,4419.9,0.81499,0.75701,0.98608,0.45942,0.77055,0.70137,0.53992,0.84901,0.74166,1.05855,0.00119308,0.00119308,0.00119308
25,4604.75,0.86965,0.76102,1.00158,0.90063,0.5108,0.58827,0.44984,0.88354,0.65816,1.07237,0.0011906,0.0011906,0.0011906
26,4785.1,0.82193,0.69623,0.99918,0.5398,0.52766,0.56135,0.44168,0.74995,0.66181,1.00269,0.00118812,0.00118812,0.00118812
27,4993.54,0.8121,0.74647,0.99985,0.55125,0.91667,0.62808,0.48741,0.77987,0.59315,1.00884,0.00118565,0.00118565,0.00118565
28,5179.87,0.79532,0.72343,0.98922,0.49246,0.72677,0.6177,0.49137,0.80202,0.6896,1.02656,0.00118317,0.00118317,0.00118317
29,5368.86,0.80938,0.73184,0.99416,0.47327,0.68981,0.5772,0.45411,0.79179,0.75081,1.01941,0.0011807,0.0011807,0.0011807
30,5558.33,0.76164,0.68206,0.96659,0.51852,0.72962,0.57007,0.44936,0.73961,0.66203,0.99513,0.00117822,0.00117822,0.00117822
31,5735.86,0.77333,0.66966,0.96814,0.56707,0.70833,0.65623,0.53496,0.76182,0.62947,1.00312,0.00117575,0.00117575,0.00117575
32,5922.38,0.76126,0.65219,0.96905,0.51887,0.70216,0.57176,0.44165,0.80067,0.6705,1.03417,0.00117327,0.00117327,0.00117327
33,6106.94,0.80468,0.68345,0.97227,0.59078,0.70833,0.59478,0.47571,0.712,0.59084,0.97958,0.0011708,0.0011708,0.0011708
34,6279.95,0.77975,0.70526,0.97916,0.67491,0.74721,0.66067,0.51416,0.82491,0.61338,1.02742,0.00116833,0.00116833,0.00116833
35,6471.79,0.79994,0.72622,0.96505,0.56279,0.71759,0.78084,0.62016,0.80819,0.85759,1.00368,0.00116585,0.00116585,0.00116585
36,6661.45,0.74574,0.65344,0.95475,0.62313,0.53733,0.60801,0.49081,0.87641,0.60874,1.08375,0.00116337,0.00116337,0.00116337
37,6868.53,0.73985,0.65428,0.97953,0.64207,0.70216,0.66018,0.5427,0.73371,0.60818,0.98238,0.0011609,0.0011609,0.0011609
38,7059.62,0.75383,0.65182,0.95357,0.60272,0.72432,0.66433,0.5473,0.70078,0.56368,0.9603,0.00115843,0.00115843,0.00115843
39,7238.29,0.76388,0.65189,0.97462,0.68467,0.69787,0.65338,0.53398,0.72482,0.54158,0.9807,0.00115595,0.00115595,0.00115595
40,7424.43,0.73202,0.58834,0.95388,0.68112,0.66779,0.69268,0.54238,0.78274,0.61497,1.0042,0.00115348,0.00115348,0.00115348
41,7614.34,0.73886,0.63302,0.95605,0.88757,0.68365,0.75898,0.58625,0.84251,0.58875,1.02946,0.001151,0.001151,0.001151
42,7784.93,0.74028,0.64644,0.95121,0.78756,0.68483,0.68684,0.58285,0.69648,0.57138,0.96733,0.00114853,0.00114853,0.00114853
43,7960.36,0.7638,0.64573,0.97121,0.53597,0.77336,0.63462,0.51648,0.72385,0.6201,0.96936,0.00114605,0.00114605,0.00114605
44,8141.39,0.75974,0.61171,0.95127,0.55925,0.70833,0.63084,0.48982,0.85231,0.65388,1.05232,0.00114357,0.00114357,0.00114357
45,8345.09,0.76819,0.62013,0.97732,0.52729,0.69955,0.6394,0.50358,0.76428,0.5714,1.00057,0.0011411,0.0011411,0.0011411
46,8536.55,0.77191,0.60451,0.97083,0.77009,0.65081,0.68402,0.57159,0.70587,0.57767,0.97432,0.00113863,0.00113863,0.00113863
47,8711.49,0.75111,0.58648,0.94664,0.6996,0.70833,0.65973,0.54116,0.68636,0.53357,0.95834,0.00113615,0.00113615,0.00113615
48,8891.22,0.73047,0.58368,0.94486,0.6485,0.70833,0.63905,0.5225,0.68247,0.62289,0.96197,0.00113368,0.00113368,0.00113368
49,9082.08,0.73137,0.60906,0.9454,0.95476,0.73118,0.77248,0.64786,0.72477,0.51823,0.97587,0.0011312,0.0011312,0.0011312
50,9285.08,0.75561,0.6275,0.976,0.81339,0.68126,0.78653,0.66058,0.7382,0.52686,0.98532,0.00112873,0.00112873,0.00112873
51,9468.15,0.7065,0.58649,0.94739,0.92246,0.69001,0.82101,0.68766,0.71567,0.49752,0.97584,0.00112625,0.00112625,0.00112625
52,9655.76,0.70947,0.55933,0.95427,0.77156,0.91143,0.88772,0.75299,0.67201,0.43671,0.95444,0.00112378,0.00112378,0.00112378
53,9853.21,0.71402,0.54903,0.95047,0.84271,0.84665,0.89133,0.72144,0.74326,0.49291,0.98537,0.0011213,0.0011213,0.0011213
54,10041.6,0.72586,0.55098,0.93289,0.68697,0.854,0.82147,0.69271,0.70732,0.54256,0.9707,0.00111882,0.00111882,0.00111882
55,10216.5,0.71952,0.54617,0.93718,0.86803,0.68364,0.80176,0.66835,0.76997,0.5337,1.00027,0.00111635,0.00111635,0.00111635
56,10404.7,0.7022,0.58834,0.94189,0.90272,0.70216,0.81988,0.69591,0.74354,0.48981,0.98453,0.00111388,0.00111388,0.00111388
57,10609.5,0.71052,0.54736,0.93843,0.50508,0.91667,0.63646,0.53069,0.72433,0.60322,0.97357,0.0011114,0.0011114,0.0011114
58,10774.1,0.71803,0.57363,0.95751,0.62428,0.86075,0.71955,0.59391,0.65218,0.55198,0.93777,0.00110892,0.00110892,0.00110892
59,10957.3,0.72846,0.5453,0.94104,0.80364,0.88375,0.77803,0.63465,0.70709,0.53171,0.96831,0.00110645,0.00110645,0.00110645
60,11143.1,0.75492,0.57866,0.96125,0.55261,0.875,0.66831,0.51879,0.7882,0.63798,1.0245,0.00110397,0.00110397,0.00110397
61,11330.8,0.74007,0.55365,0.95711,0.76982,0.74712,0.81569,0.67678,0.73573,0.522,0.99304,0.0011015,0.0011015,0.0011015
62,11507.5,0.73215,0.54008,0.93762,0.67365,0.87879,0.81343,0.67548,0.70279,0.55247,0.96137,0.00109903,0.00109903,0.00109903
63,11701.4,0.68895,0.51125,0.92644,0.75943,0.75,0.75346,0.63704,0.69838,0.52181,0.96623,0.00109655,0.00109655,0.00109655
64,11893.8,0.70805,0.5292,0.94574,0.77773,0.93192,0.77173,0.64165,0.66471,0.45648,0.94146,0.00109408,0.00109408,0.00109408
65,12113.4,0.70073,0.51128,0.93612,0.72426,0.91667,0.83718,0.72043,0.6343,0.46426,0.92551,0.0010916,0.0010916,0.0010916
66,12290.7,0.70918,0.51462,0.93971,0.97676,0.91453,0.9533,0.81186,0.68085,0.42998,0.9487,0.00108913,0.00108913,0.00108913
67,12486.5,0.6906,0.47417,0.90988,0.6851,0.91667,0.81232,0.67022,0.67357,0.48965,0.95614,0.00108665,0.00108665,0.00108665
68,12665.6,0.69115,0.50282,0.9328,0.9194,0.92051,0.96428,0.83121,0.68062,0.4211,0.94663,0.00108417,0.00108417,0.00108417
69,12851.1,0.67734,0.46988,0.9273,0.97096,0.9289,0.98453,0.82804,0.64955,0.4045,0.93075,0.0010817,0.0010817,0.0010817
70,13036.6,0.67111,0.50815,0.93293,0.96955,0.86364,0.97843,0.80675,0.7022,0.47141,0.95412,0.00107923,0.00107923,0.00107923
71,13218.2,0.68172,0.49598,0.93124,0.79209,0.70833,0.78113,0.66101,0.76081,0.56691,0.98909,0.00107675,0.00107675,0.00107675
72,13399.2,0.67573,0.56116,0.93015,0.89935,0.70833,0.77881,0.65712,0.74628,0.48617,0.99194,0.00107427,0.00107427,0.00107427
73,13578.2,0.68026,0.52154,0.93484,0.61734,0.57698,0.66173,0.5425,0.72218,0.54858,0.97615,0.0010718,0.0010718,0.0010718
